Ano (data);País;Região;Estado;Estado sigla;Município (Municípios);Município Estado;Latitude;Longitude;Espécie florestal;Área (ha)
31/12/2014;Brasil;Norte;Rondônia;RO;Corumbiara;Corumbiara (RO);-12,93;-61,09;Outras espécies;0
31/12/2015;Brasil;Norte;Rondônia;RO;Corumbiara;Corumbiara (RO);-12,93;-61,09;Outras espécies;0
31/12/2016;Brasil;Norte;Rondônia;RO;Corumbiara;Corumbiara (RO);-12,93;-61,09;Outras espécies;0
31/12/2014;Brasil;Norte;Rondônia;RO;Espigão D'Oeste;Espigão D'Oeste (RO);-11,35;-60,78;Eucalipto;0
31/12/2015;Brasil;Norte;Rondônia;RO;Espigão D'Oeste;Espigão D'Oeste (RO);-11,35;-60,78;Eucalipto;0
31/12/2016;Brasil;Norte;Rondônia;RO;Espigão D'Oeste;Espigão D'Oeste (RO);-11,35;-60,78;Eucalipto;0
31/12/2014;Brasil;Norte;Rondônia;RO;Espigão D'Oeste;Espigão D'Oeste (RO);-11,35;-60,78;Pinus;0
31/12/2015;Brasil;Norte;Rondônia;RO;Espigão D'Oeste;Espigão D'Oeste (RO);-11,35;-60,78;Pinus;0
31/12/2016;Brasil;Norte;Rondônia;RO;Espigão D'Oeste;Espigão D'Oeste (RO);-11,35;-60,78;Pinus;0
31/12/2014;Brasil;Norte;Rondônia;RO;Espigão D'Oeste;Espigão D'Oeste (RO);-11,35;-60,78;Outras espécies;537
31/12/2015;Brasil;Norte;Rondônia;RO;Espigão D'Oeste;Espigão D'Oeste (RO);-11,35;-60,78;Outras espécies;516
31/12/2016;Brasil;Norte;Rondônia;RO;Espigão D'Oeste;Espigão D'Oeste (RO);-11,35;-60,78;Outras espécies;706
31/12/2014;Brasil;Norte;Rondônia;RO;Ji-Paraná;Ji-Paraná (RO);-10,46;-61,76;Eucalipto;0
31/12/2015;Brasil;Norte;Rondônia;RO;Ji-Paraná;Ji-Paraná (RO);-10,46;-61,76;Eucalipto;0
31/12/2016;Brasil;Norte;Rondônia;RO;Ji-Paraná;Ji-Paraná (RO);-10,46;-61,76;Eucalipto;0
31/12/2014;Brasil;Norte;Rondônia;RO;Ji-Paraná;Ji-Paraná (RO);-10,46;-61,76;Pinus;0
31/12/2015;Brasil;Norte;Rondônia;RO;Ji-Paraná;Ji-Paraná (RO);-10,46;-61,76;Pinus;0
31/12/2016;Brasil;Norte;Rondônia;RO;Ji-Paraná;Ji-Paraná (RO);-10,46;-61,76;Pinus;0
31/12/2014;Brasil;Norte;Rondônia;RO;Ji-Paraná;Ji-Paraná (RO);-10,46;-61,76;Outras espécies;207
31/12/2015;Brasil;Norte;Rondônia;RO;Ji-Paraná;Ji-Paraná (RO);-10,46;-61,76;Outras espécies;207
31/12/2016;Brasil;Norte;Rondônia;RO;Ji-Paraná;Ji-Paraná (RO);-10,46;-61,76;Outras espécies;283
31/12/2014;Brasil;Norte;Rondônia;RO;Ouro Preto do Oeste;Ouro Preto do Oeste (RO);-10,61;-62,17;Eucalipto;0
31/12/2015;Brasil;Norte;Rondônia;RO;Ouro Preto do Oeste;Ouro Preto do Oeste (RO);-10,61;-62,17;Eucalipto;0
31/12/2016;Brasil;Norte;Rondônia;RO;Ouro Preto do Oeste;Ouro Preto do Oeste (RO);-10,61;-62,17;Eucalipto;0
31/12/2014;Brasil;Norte;Rondônia;RO;Ouro Preto do Oeste;Ouro Preto do Oeste (RO);-10,61;-62,17;Pinus;0
31/12/2015;Brasil;Norte;Rondônia;RO;Ouro Preto do Oeste;Ouro Preto do Oeste (RO);-10,61;-62,17;Pinus;0
31/12/2016;Brasil;Norte;Rondônia;RO;Ouro Preto do Oeste;Ouro Preto do Oeste (RO);-10,61;-62,17;Pinus;0
31/12/2014;Brasil;Norte;Rondônia;RO;Ouro Preto do Oeste;Ouro Preto do Oeste (RO);-10,61;-62,17;Outras espécies;103
31/12/2015;Brasil;Norte;Rondônia;RO;Ouro Preto do Oeste;Ouro Preto do Oeste (RO);-10,61;-62,17;Outras espécies;103
31/12/2016;Brasil;Norte;Rondônia;RO;Ouro Preto do Oeste;Ouro Preto do Oeste (RO);-10,61;-62,17;Outras espécies;141
31/12/2014;Brasil;Norte;Rondônia;RO;Pimenta Bueno;Pimenta Bueno (RO);-11,89;-60,83;Eucalipto;0
31/12/2015;Brasil;Norte;Rondônia;RO;Pimenta Bueno;Pimenta Bueno (RO);-11,89;-60,83;Eucalipto;0
31/12/2016;Brasil;Norte;Rondônia;RO;Pimenta Bueno;Pimenta Bueno (RO);-11,89;-60,83;Eucalipto;0
31/12/2014;Brasil;Norte;Rondônia;RO;Pimenta Bueno;Pimenta Bueno (RO);-11,89;-60,83;Pinus;0
31/12/2015;Brasil;Norte;Rondônia;RO;Pimenta Bueno;Pimenta Bueno (RO);-11,89;-60,83;Pinus;0
31/12/2016;Brasil;Norte;Rondônia;RO;Pimenta Bueno;Pimenta Bueno (RO);-11,89;-60,83;Pinus;0
