Ano (data);País;Região;Estado;Estado sigla;Município (Municípios);Município Estado;Latitude;Longitude;Espécie florestal;Área (ha)
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Pains;Pains (MG);-20,38;-45,69;Outras espécies;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Paiva;Paiva (MG);-21,29;-43,42;Eucalipto;150
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Paiva;Paiva (MG);-21,29;-43,42;Eucalipto;150
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Paiva;Paiva (MG);-21,29;-43,42;Eucalipto;150
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Paiva;Paiva (MG);-21,29;-43,42;Pinus;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Paiva;Paiva (MG);-21,29;-43,42;Pinus;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Paiva;Paiva (MG);-21,29;-43,42;Pinus;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Paiva;Paiva (MG);-21,29;-43,42;Outras espécies;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Paiva;Paiva (MG);-21,29;-43,42;Outras espécies;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Paiva;Paiva (MG);-21,29;-43,42;Outras espécies;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Palma;Palma (MG);-21,42;-42,33;Eucalipto;500
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Palma;Palma (MG);-21,42;-42,33;Eucalipto;500
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Palma;Palma (MG);-21,42;-42,33;Eucalipto;420
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Palma;Palma (MG);-21,42;-42,33;Pinus;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Palma;Palma (MG);-21,42;-42,33;Pinus;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Palma;Palma (MG);-21,42;-42,33;Pinus;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Palma;Palma (MG);-21,42;-42,33;Outras espécies;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Palma;Palma (MG);-21,42;-42,33;Outras espécies;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Palma;Palma (MG);-21,42;-42,33;Outras espécies;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Papagaios;Papagaios (MG);-19,38;-44,69;Eucalipto;1290
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Papagaios;Papagaios (MG);-19,38;-44,69;Eucalipto;1275
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Papagaios;Papagaios (MG);-19,38;-44,69;Eucalipto;1275
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Papagaios;Papagaios (MG);-19,38;-44,69;Pinus;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Papagaios;Papagaios (MG);-19,38;-44,69;Pinus;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Papagaios;Papagaios (MG);-19,38;-44,69;Pinus;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Papagaios;Papagaios (MG);-19,38;-44,69;Outras espécies;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Papagaios;Papagaios (MG);-19,38;-44,69;Outras espécies;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Papagaios;Papagaios (MG);-19,38;-44,69;Outras espécies;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Paracatu;Paracatu (MG);-17,17;-46,88;Eucalipto;2900
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Paracatu;Paracatu (MG);-17,17;-46,88;Eucalipto;2200
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Paracatu;Paracatu (MG);-17,17;-46,88;Eucalipto;2200
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Paracatu;Paracatu (MG);-17,17;-46,88;Pinus;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Paracatu;Paracatu (MG);-17,17;-46,88;Pinus;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Paracatu;Paracatu (MG);-17,17;-46,88;Pinus;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Paracatu;Paracatu (MG);-17,17;-46,88;Outras espécies;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Paracatu;Paracatu (MG);-17,17;-46,88;Outras espécies;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Paracatu;Paracatu (MG);-17,17;-46,88;Outras espécies;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Pará de Minas;Pará de Minas (MG);-19,83;-44,61;Eucalipto;850
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Pará de Minas;Pará de Minas (MG);-19,83;-44,61;Eucalipto;810
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Pará de Minas;Pará de Minas (MG);-19,83;-44,61;Eucalipto;810
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Pará de Minas;Pará de Minas (MG);-19,83;-44,61;Pinus;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Pará de Minas;Pará de Minas (MG);-19,83;-44,61;Pinus;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Pará de Minas;Pará de Minas (MG);-19,83;-44,61;Pinus;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Pará de Minas;Pará de Minas (MG);-19,83;-44,61;Outras espécies;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Pará de Minas;Pará de Minas (MG);-19,83;-44,61;Outras espécies;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Pará de Minas;Pará de Minas (MG);-19,83;-44,61;Outras espécies;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Paraguaçu;Paraguaçu (MG);-21,57;-45,75;Eucalipto;560
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Paraguaçu;Paraguaçu (MG);-21,57;-45,75;Eucalipto;560
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Paraguaçu;Paraguaçu (MG);-21,57;-45,75;Eucalipto;560
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Paraguaçu;Paraguaçu (MG);-21,57;-45,75;Pinus;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Paraguaçu;Paraguaçu (MG);-21,57;-45,75;Pinus;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Paraguaçu;Paraguaçu (MG);-21,57;-45,75;Pinus;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Paraguaçu;Paraguaçu (MG);-21,57;-45,75;Outras espécies;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Paraguaçu;Paraguaçu (MG);-21,57;-45,75;Outras espécies;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Paraguaçu;Paraguaçu (MG);-21,57;-45,75;Outras espécies;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Paraisópolis;Paraisópolis (MG);-22,57;-45,82;Eucalipto;64
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Paraisópolis;Paraisópolis (MG);-22,57;-45,82;Eucalipto;64
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Paraisópolis;Paraisópolis (MG);-22,57;-45,82;Eucalipto;60
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Paraisópolis;Paraisópolis (MG);-22,57;-45,82;Pinus;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Paraisópolis;Paraisópolis (MG);-22,57;-45,82;Pinus;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Paraisópolis;Paraisópolis (MG);-22,57;-45,82;Pinus;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Paraisópolis;Paraisópolis (MG);-22,57;-45,82;Outras espécies;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Paraisópolis;Paraisópolis (MG);-22,57;-45,82;Outras espécies;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Paraisópolis;Paraisópolis (MG);-22,57;-45,82;Outras espécies;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Paraopeba;Paraopeba (MG);-19,27;-44,45;Eucalipto;4617
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Paraopeba;Paraopeba (MG);-19,27;-44,45;Eucalipto;4564
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Paraopeba;Paraopeba (MG);-19,27;-44,45;Eucalipto;4623
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Paraopeba;Paraopeba (MG);-19,27;-44,45;Pinus;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Paraopeba;Paraopeba (MG);-19,27;-44,45;Pinus;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Paraopeba;Paraopeba (MG);-19,27;-44,45;Pinus;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Paraopeba;Paraopeba (MG);-19,27;-44,45;Outras espécies;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Paraopeba;Paraopeba (MG);-19,27;-44,45;Outras espécies;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Paraopeba;Paraopeba (MG);-19,27;-44,45;Outras espécies;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Passabém;Passabém (MG);-19,36;-43,18;Eucalipto;55
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Passabém;Passabém (MG);-19,36;-43,18;Eucalipto;55
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Passabém;Passabém (MG);-19,36;-43,18;Eucalipto;50
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Passabém;Passabém (MG);-19,36;-43,18;Pinus;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Passabém;Passabém (MG);-19,36;-43,18;Pinus;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Passabém;Passabém (MG);-19,36;-43,18;Pinus;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Passabém;Passabém (MG);-19,36;-43,18;Outras espécies;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Passabém;Passabém (MG);-19,36;-43,18;Outras espécies;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Passabém;Passabém (MG);-19,36;-43,18;Outras espécies;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Passa Quatro;Passa Quatro (MG);-22,41;-44,97;Eucalipto;620
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Passa Quatro;Passa Quatro (MG);-22,41;-44,97;Eucalipto;642
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Passa Quatro;Passa Quatro (MG);-22,41;-44,97;Eucalipto;685
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Passa Quatro;Passa Quatro (MG);-22,41;-44,97;Pinus;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Passa Quatro;Passa Quatro (MG);-22,41;-44,97;Pinus;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Passa Quatro;Passa Quatro (MG);-22,41;-44,97;Pinus;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Passa Quatro;Passa Quatro (MG);-22,41;-44,97;Outras espécies;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Passa Quatro;Passa Quatro (MG);-22,41;-44,97;Outras espécies;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Passa Quatro;Passa Quatro (MG);-22,41;-44,97;Outras espécies;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Passa Tempo;Passa Tempo (MG);-20,65;-44,49;Eucalipto;240
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Passa Tempo;Passa Tempo (MG);-20,65;-44,49;Eucalipto;240
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Passa Tempo;Passa Tempo (MG);-20,65;-44,49;Eucalipto;240
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Passa Tempo;Passa Tempo (MG);-20,65;-44,49;Pinus;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Passa Tempo;Passa Tempo (MG);-20,65;-44,49;Pinus;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Passa Tempo;Passa Tempo (MG);-20,65;-44,49;Pinus;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Passa Tempo;Passa Tempo (MG);-20,65;-44,49;Outras espécies;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Passa Tempo;Passa Tempo (MG);-20,65;-44,49;Outras espécies;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Passa Tempo;Passa Tempo (MG);-20,65;-44,49;Outras espécies;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Passa Vinte;Passa Vinte (MG);-22,18;-44,26;Eucalipto;400
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Passa Vinte;Passa Vinte (MG);-22,18;-44,26;Eucalipto;400
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Passa Vinte;Passa Vinte (MG);-22,18;-44,26;Eucalipto;400
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Passa Vinte;Passa Vinte (MG);-22,18;-44,26;Pinus;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Passa Vinte;Passa Vinte (MG);-22,18;-44,26;Pinus;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Passa Vinte;Passa Vinte (MG);-22,18;-44,26;Pinus;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Passa Vinte;Passa Vinte (MG);-22,18;-44,26;Outras espécies;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Passa Vinte;Passa Vinte (MG);-22,18;-44,26;Outras espécies;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Passa Vinte;Passa Vinte (MG);-22,18;-44,26;Outras espécies;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Passos;Passos (MG);-20,72;-46,62;Eucalipto;773
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Passos;Passos (MG);-20,72;-46,62;Eucalipto;773
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Passos;Passos (MG);-20,72;-46,62;Eucalipto;773
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Passos;Passos (MG);-20,72;-46,62;Pinus;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Passos;Passos (MG);-20,72;-46,62;Pinus;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Passos;Passos (MG);-20,72;-46,62;Pinus;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Passos;Passos (MG);-20,72;-46,62;Outras espécies;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Passos;Passos (MG);-20,72;-46,62;Outras espécies;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Passos;Passos (MG);-20,72;-46,62;Outras espécies;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Patis;Patis (MG);-16,08;-44,1;Eucalipto;496
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Patis;Patis (MG);-16,08;-44,1;Eucalipto;410
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Patis;Patis (MG);-16,08;-44,1;Eucalipto;350
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Patis;Patis (MG);-16,08;-44,1;Pinus;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Patis;Patis (MG);-16,08;-44,1;Pinus;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Patis;Patis (MG);-16,08;-44,1;Pinus;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Patis;Patis (MG);-16,08;-44,1;Outras espécies;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Patis;Patis (MG);-16,08;-44,1;Outras espécies;46
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Patis;Patis (MG);-16,08;-44,1;Outras espécies;46
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Patos de Minas;Patos de Minas (MG);-18,6;-46,51;Eucalipto;5300
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Patos de Minas;Patos de Minas (MG);-18,6;-46,51;Eucalipto;5200
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Patos de Minas;Patos de Minas (MG);-18,6;-46,51;Eucalipto;5300
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Patos de Minas;Patos de Minas (MG);-18,6;-46,51;Pinus;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Patos de Minas;Patos de Minas (MG);-18,6;-46,51;Pinus;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Patos de Minas;Patos de Minas (MG);-18,6;-46,51;Pinus;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Patos de Minas;Patos de Minas (MG);-18,6;-46,51;Outras espécies;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Patos de Minas;Patos de Minas (MG);-18,6;-46,51;Outras espécies;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Patos de Minas;Patos de Minas (MG);-18,6;-46,51;Outras espécies;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Patrocínio;Patrocínio (MG);-18,97;-47,05;Eucalipto;1400
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Patrocínio;Patrocínio (MG);-18,97;-47,05;Eucalipto;1250
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Patrocínio;Patrocínio (MG);-18,97;-47,05;Eucalipto;1100
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Patrocínio;Patrocínio (MG);-18,97;-47,05;Pinus;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Patrocínio;Patrocínio (MG);-18,97;-47,05;Pinus;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Patrocínio;Patrocínio (MG);-18,97;-47,05;Pinus;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Patrocínio;Patrocínio (MG);-18,97;-47,05;Outras espécies;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Patrocínio;Patrocínio (MG);-18,97;-47,05;Outras espécies;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Patrocínio;Patrocínio (MG);-18,97;-47,05;Outras espécies;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Patrocínio do Muriaé;Patrocínio do Muriaé (MG);-21,17;-42,25;Eucalipto;77
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Patrocínio do Muriaé;Patrocínio do Muriaé (MG);-21,17;-42,25;Eucalipto;74
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Patrocínio do Muriaé;Patrocínio do Muriaé (MG);-21,17;-42,25;Eucalipto;65
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Patrocínio do Muriaé;Patrocínio do Muriaé (MG);-21,17;-42,25;Pinus;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Patrocínio do Muriaé;Patrocínio do Muriaé (MG);-21,17;-42,25;Pinus;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Patrocínio do Muriaé;Patrocínio do Muriaé (MG);-21,17;-42,25;Pinus;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Patrocínio do Muriaé;Patrocínio do Muriaé (MG);-21,17;-42,25;Outras espécies;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Patrocínio do Muriaé;Patrocínio do Muriaé (MG);-21,17;-42,25;Outras espécies;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Patrocínio do Muriaé;Patrocínio do Muriaé (MG);-21,17;-42,25;Outras espécies;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Paula Cândido;Paula Cândido (MG);-20,86;-42,98;Eucalipto;440
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Paula Cândido;Paula Cândido (MG);-20,86;-42,98;Eucalipto;440
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Paula Cândido;Paula Cândido (MG);-20,86;-42,98;Eucalipto;400
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Paula Cândido;Paula Cândido (MG);-20,86;-42,98;Pinus;50
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Paula Cândido;Paula Cândido (MG);-20,86;-42,98;Pinus;50
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Paula Cândido;Paula Cândido (MG);-20,86;-42,98;Pinus;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Paula Cândido;Paula Cândido (MG);-20,86;-42,98;Outras espécies;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Paula Cândido;Paula Cândido (MG);-20,86;-42,98;Outras espécies;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Paula Cândido;Paula Cândido (MG);-20,86;-42,98;Outras espécies;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Paulistas;Paulistas (MG);-18,46;-42,87;Eucalipto;1300
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Paulistas;Paulistas (MG);-18,46;-42,87;Eucalipto;1200
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Paulistas;Paulistas (MG);-18,46;-42,87;Eucalipto;1370
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Paulistas;Paulistas (MG);-18,46;-42,87;Pinus;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Paulistas;Paulistas (MG);-18,46;-42,87;Pinus;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Paulistas;Paulistas (MG);-18,46;-42,87;Pinus;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Paulistas;Paulistas (MG);-18,46;-42,87;Outras espécies;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Paulistas;Paulistas (MG);-18,46;-42,87;Outras espécies;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Paulistas;Paulistas (MG);-18,46;-42,87;Outras espécies;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Pavão;Pavão (MG);-17,47;-41,06;Eucalipto;134
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Pavão;Pavão (MG);-17,47;-41,06;Eucalipto;134
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Pavão;Pavão (MG);-17,47;-41,06;Eucalipto;140
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Pavão;Pavão (MG);-17,47;-41,06;Pinus;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Pavão;Pavão (MG);-17,47;-41,06;Pinus;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Pavão;Pavão (MG);-17,47;-41,06;Pinus;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Pavão;Pavão (MG);-17,47;-41,06;Outras espécies;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Pavão;Pavão (MG);-17,47;-41,06;Outras espécies;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Pavão;Pavão (MG);-17,47;-41,06;Outras espécies;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Peçanha;Peçanha (MG);-18,56;-42,51;Eucalipto;12700
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Peçanha;Peçanha (MG);-18,56;-42,51;Eucalipto;13000
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Peçanha;Peçanha (MG);-18,56;-42,51;Eucalipto;15200
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Peçanha;Peçanha (MG);-18,56;-42,51;Pinus;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Peçanha;Peçanha (MG);-18,56;-42,51;Pinus;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Peçanha;Peçanha (MG);-18,56;-42,51;Pinus;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Peçanha;Peçanha (MG);-18,56;-42,51;Outras espécies;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Peçanha;Peçanha (MG);-18,56;-42,51;Outras espécies;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Peçanha;Peçanha (MG);-18,56;-42,51;Outras espécies;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Pedra Azul;Pedra Azul (MG);-15,96;-41,18;Eucalipto;729
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Pedra Azul;Pedra Azul (MG);-15,96;-41,18;Eucalipto;1420
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Pedra Azul;Pedra Azul (MG);-15,96;-41,18;Eucalipto;1455
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Pedra Azul;Pedra Azul (MG);-15,96;-41,18;Pinus;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Pedra Azul;Pedra Azul (MG);-15,96;-41,18;Pinus;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Pedra Azul;Pedra Azul (MG);-15,96;-41,18;Pinus;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Pedra Azul;Pedra Azul (MG);-15,96;-41,18;Outras espécies;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Pedra Azul;Pedra Azul (MG);-15,96;-41,18;Outras espécies;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Pedra Azul;Pedra Azul (MG);-15,96;-41,18;Outras espécies;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Pedra Bonita;Pedra Bonita (MG);-20,48;-42,38;Eucalipto;5
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Pedra Bonita;Pedra Bonita (MG);-20,48;-42,38;Eucalipto;5
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Pedra Bonita;Pedra Bonita (MG);-20,48;-42,38;Eucalipto;4
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Pedra Bonita;Pedra Bonita (MG);-20,48;-42,38;Pinus;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Pedra Bonita;Pedra Bonita (MG);-20,48;-42,38;Pinus;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Pedra Bonita;Pedra Bonita (MG);-20,48;-42,38;Pinus;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Pedra Bonita;Pedra Bonita (MG);-20,48;-42,38;Outras espécies;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Pedra Bonita;Pedra Bonita (MG);-20,48;-42,38;Outras espécies;0
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Pedra Bonita;Pedra Bonita (MG);-20,48;-42,38;Outras espécies;0
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Pedra do Anta;Pedra do Anta (MG);-20,6;-42,72;Eucalipto;70
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Pedra do Anta;Pedra do Anta (MG);-20,6;-42,72;Eucalipto;70
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Pedra do Anta;Pedra do Anta (MG);-20,6;-42,72;Eucalipto;129
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Pedra do Anta;Pedra do Anta (MG);-20,6;-42,72;Pinus;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Pedra do Anta;Pedra do Anta (MG);-20,6;-42,72;Pinus;50
31/12/2016;Brasil;Sudeste;Minas Gerais;MG;Pedra do Anta;Pedra do Anta (MG);-20,6;-42,72;Pinus;56
31/12/2014;Brasil;Sudeste;Minas Gerais;MG;Pedra do Anta;Pedra do Anta (MG);-20,6;-42,72;Outras espécies;0
31/12/2015;Brasil;Sudeste;Minas Gerais;MG;Pedra do Anta;Pedra do Anta (MG);-20,6;-42,72;Outras espécies;0
